wallclock utime stime cpu memory io iow wallclock(hrs) utilisation memory(mem/cpu) uid
ap4mm 213956.000000 80545.000000 147.000000 113199.000000 13485.527000 0.000000 0.000000 59.432222 0.011992 0.119131 27.000000
app03jah 43510.000000 251.000000 16.000000 422.000000 654.033000 0.000000 0.000000 12.086111 0.002439 1.549841 28.000000
app03las 9110.000000 0.000000 0.000000 0.000000 0.006000 0.000000 0.000000 2.530556 0.000511 0.000000 29.000000
app03nar 57941.000000 69.000000 15.000000 338.000000 11.265000 0.000000 0.000000 16.094722 0.003248 0.033328 30.000000
app04cjm 3805857.000000 2516256.000000 1141.000000 2656664.000000 898428.394000 0.000000 0.000000 1057.182500 0.213320 0.338179 31.000000
app05cej 1345477.000000 1709.000000 140.000000 3089.000000 1356.760000 0.000000 0.000000 373.743611 0.075415 0.439223 32.000000
app05md 1402180.000000 396096.000000 12488.000000 419723.000000 610486.706000 0.000000 0.000000 389.494444 0.078593 1.454499 33.000000
app06apn 9188.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 2.552222 0.000515 0.000000 34.000000
app06es 1466764.000000 428.000000 161.000000 777.000000 43.850000 0.000000 0.000000 407.434444 0.082213 0.056435 35.000000
arp04jql 13823587.000000 5285080.000000 203169.000000 6215095.000000 2463567.422000 0.000000 0.000000 3839.885278 0.774818 0.396385 36.000000
bo1acf 10751695.000000 5217564.000000 193384.000000 6061170.000000 1561335.884000 0.000000 0.000000 2986.581944 0.602637 0.257596 37.000000
bo1djb 199333.000000 10644.000000 958.000000 33161.000000 79948.617000 0.000000 0.000000 55.370278 0.011173 2.410923 38.000000
bo1djm 19263384.000000 7056125.000000 8169.000000 13416412.000000 56637.303000 0.000000 0.000000 5350.940000 1.079721 0.004221 39.000000
bo1dzc 37527513.000000 23957218.000000 16582.000000 24377497.000000 2317099.567000 0.000000 0.000000 10424.309167 2.103434 0.095051 40.000000
bo1is 49624.000000 4189.000000 37.000000 5425.000000 189.451000 0.000000 0.000000 13.784444 0.002781 0.034922 41.000000
bo1jlx 269754.000000 134270.000000 990.000000 138259.000000 97083.047000 0.000000 0.000000 74.931667 0.015120 0.702182 42.000000
bo1mrl 1135828.000000 402357.000000 35686.000000 500593.000000 342107.816000 0.000000 0.000000 315.507778 0.063664 0.683405 43.000000
bo1op 19574467.000000 10197284.000000 36669.000000 10235175.000000 1197798.132000 0.000000 0.000000 5437.351944 1.097158 0.117028 44.000000
bo1rafx 11725389.000000 3175851.000000 187195.000000 5165612.000000 3528187.824000 0.000000 0.000000 3257.052500 0.657213 0.683014 45.000000
bo1sdw 6771102.000000 2190155.000000 843.000000 2616521.000000 103635.036000 0.000000 0.000000 1880.861667 0.379523 0.039608 46.000000
bo1sjb 516278.000000 44857.000000 4866.000000 67533.000000 137152.834000 0.000000 0.000000 143.410556 0.028938 2.030901 47.000000
bop03blh 38279.000000 4448.000000 662.000000 31235.000000 15016.665000 0.000000 0.000000 10.633056 0.002146 0.480764 48.000000
ch1ajm 21371611.000000 14421395.000000 815276.000000 15744450.000000 35751504.516000 0.000000 0.000000 5936.558611 1.197888 2.270737 49.000000
ch1dm 56580683.000000 44787122.000000 756235.000000 45764305.000000 57788690.752000 0.000000 0.000000 15716.856389 3.171373 1.262746 50.000000
ch1mg 315704.000000 42587.000000 914.000000 62261.000000 92491.387000 0.000000 0.000000 87.695556 0.017695 1.485543 51.000000
cha03sls 49976140.000000 36811149.000000 1305289.000000 55932148.000000 30662053.746000 0.000000 0.000000 13882.261111 2.801185 0.548201 52.000000
chp03jcc 101.000000 0.000000 0.000000 0.000000 0.002000 0.000000 0.000000 0.028056 0.000006 0.000000 53.000000
chp04gs 715039.000000 233997.000000 38198.000000 272428.000000 673450.990000 0.000000 0.000000 198.621944 0.040078 2.472033 54.000000
chp04vr 28801.000000 0.000000 0.000000 2.000000 0.200000 0.000000 0.000000 8.000278 0.001614 0.100000 55.000000
chp05cm 88.000000 0.000000 0.000000 14.000000 19.008000 0.000000 0.000000 0.024444 0.000005 1.357714 56.000000
chp05kaw 26788635.000000 16475824.000000 2239030.000000 34973782.000000 206615007718.712006 0.000000 0.000000 7441.287500 1.501515 5907.711317 57.000000
chp06lab 205531.000000 0.000000 0.000000 58.000000 90.990000 0.000000 0.000000 57.091944 0.011520 1.568793 58.000000
ci1ccs 696994.000000 367027.000000 5101.000000 379706.000000 914149.466000 0.000000 0.000000 193.609444 0.039067 2.407519 59.000000
ci1dmu 44081.000000 0.000000 0.000000 8964.000000 3588.495000 0.000000 0.000000 12.244722 0.002471 0.400323 60.000000
ci1mg 442512.000000 311960.000000 469.000000 345230.000000 1348428.653000 0.000000 0.000000 122.920000 0.024803 3.905885 61.000000
ci1qn 11045.000000 6.000000 0.000000 2148.000000 3523.287000 0.000000 0.000000 3.068056 0.000619 1.640264 62.000000
